2513,Camila Morrone,82,1
2514,Mischa Barton,273,3
2515,Natasha Bedingfield,120,2
2516,Nicole Richie,155,2
2517,Odette Annable,30,1
2518,Odeya Rush,31,1
2519,Olivia Culpo,3,1
2520,Molly C. Quinn,16,1
2521,Padma Lakshmi,34,1
2522,Paulina Rubio,32,1
2523,Paz Vega,86,1
2524,Paula Patton,28,1
2525,Piper Perabo,106,2
2526,Rosario Dawson,40,1
2527,Roxane Mesquida,20,1
2528,Rumer Willis,1,1
2529,Samantha Droke,48,1
2530,Sammi Hanratty,20,1
2531,Sandra Bullock,18,1
2532,Sarah Jessica Parker,25,1
2533,Sarah Michelle Gellar,141,2
2534,Shelley Hennig,24,1
2535,Shenae Grimes Beech,96,1
2536,Millie Bobby Brown,140,2
2537,Rebecca Black,8,1
2538,Tara Reid,102,1
2539,Taylor Schilling,62,1
2540,Torrey DeVitto,7,1
2541,Tyra Banks,14,1
2542,Uma Thurman,32,1
2543,Vera Farmiga,64,1
2544,Kelly Osbourne,77,1
2545,Kendra Wilkinson,68,1
2547,Jennifer Garner,22,1
2548,Joey King,406,4
2549,Janel Parrish,63,1
2551,Kerry Bishe,1,1
2552,Kim Raver,1,1
2553,Kimbra,11,1
2554,Kristin Chenoweth,24,1
2555,Lauren Conrad,91,1
2556,Jillian Rose Reed,16,1
2557,Lyndsy Fonseca,93,1
2559,Katherine McNamara,447,5
2560,Tatiana Maslany,49,1
2562,Anastasiya Scheglova,340,4
2563,MarГ­a Pedraza,62,1
2564,Kourtney Kardashian,35,1
2565,Skyler Samuels,46,1
2566,Soko,152,2
2567,Elisabeth Moss,119,2
2568,Sadie Sink,164,2
2569,Gemma Chan,33,1
2571,Naomi Scott,84,1
2572,Janelle Monae,44,1
2573,Billie Eilish,128,2
2577,Emma Mackey,55,1
2581,Kathryn Newton,125,2
2583,Kristine Froseth,56,1
2585,Jordyn Jones,41,1
2586,Loren Gray,34,1
2587,Freya Mavor,40,1
2589,Sydney Sweeney,267,3
2595,Katherine Waterston,67,1
2615,Perrie Edwards,23,1
2645,Melissa Roxburgh,34,1
2651,Halsey,199,2
2661,Eliza Taylor,46,1
2663,Lindsey Morgan,48,1
2665,Marie Avgeropoulos,32,1
2669,Madeline Brewer,42,1
2670,Cailee Spaeny,25,1
2671,Kalani Hilliker,7,1
2672,Priyanka Chopra,191,2
2673,Stella Hudgens,26,1
2674,Lauren Jauregui,44,1
2675,Ally Brooke,35,1
2676,Normani Kordei,87,1
2679,Haley Lu Richardson,34,1
2681,Eiza Gonzalez,184,2
2682,Ellie Bamber,62,1
2684,Meg Myers,47,1
2686,Daisy Ridley,142,2
2687,Busy Philipps,28,1
2689,Ali Larter,56,1
2693,Ariel Winter,82,1
2694,Ashley Rickards,5,1
2695,Maya Hawke,163,2
2697,Bea Miller,73,1
2698,Bonnie McKee,13,1
2701,Natalia Dyer,181,2
2707,Ursula Corbero,45,1
2710,Chloe Bennet,99,1
2715,Alexa Nisenson,4,1
2738,Florence Pugh,115,2
2740,Bebe Rexha,192,2
2815,Barbie Ferreira,24,1
2894,Christina Ricci,40,1
2912,Ester ExpГіsito,90,1
2915,Danna Paola,54,1
2918,Daniella Monet,32,1
2958,Emily Deschanel,11,1
2961,Emma Bell,2,1
2970,Erika Christensen,70,1
2972,EsmГ©e Denters,26,1
2982,Famke Janssen,48,1
2995,Genevieve Morton,59,1
3004,Gillian Zinser,13,1
3007,Ginnifer Goodwin,23,1
3010,Greer Grammer,3,1
3024,Halston Sage,127,2
3027,Hannah Simone,29,1
3029,Hayley Atwell,87,1
3031,Heather Graham,51,1
3038,Holly Madison,41,1
3044,Isabelle Fuhrman,18,1
3047,Jaime Murray,77,1
3059,Jayma Mays,16,1
3061,Jenna Dewan,38,1
3063,Jenna Fischer,30,1
3066,Jenna Ushkowitz,171,2
3079,Jessica Lucas,4,1
3081,Jessica Stroup,8,1
3086,Victoria Pedretti,28,1
3087,Anya Taylor-Joy,316,4
3091,Abigail Cowen,79,1
3092,Dove Cameron,399,4
3096,AyЕџe Hatun Г–nal,3,1
3101,Eliza Dushku,102,1
3177,Keke Palmer,81,1
